Physical,Horizon,BOOK,2018,6,2,"The book smugglers : partisans, poets, and the race to save Jewish treasures from the Nazis / David E. Fishman.","Fishman, David E., 1957-","Holocaust Jewish 1939 1945 Europe, Cultural property Protection Europe, Cultural property Destruction and pillage Europe, Jewish libraries Destruction and pillage Europe, Art thefts Europe","ForeEdge, an imprint of University Press of New England,",[2017]
Physical,Horizon,BOOK,2018,6,2,On my own / Diane Rehm.,"Rehm, Diane","Rehm Diane, Rehm John B Health, Radio broadcasters United States Biography, Widows United States Biography, Bereavement United States, Loss Psychology, Adjustment Psychology, Parkinsons disease Patients Family relationships, Autobiographies","Alfred A. Knopf,",c2016.
Digital,OverDrive,AUDIOBOOK,2018,6,1,"The Anteater of Death: Gunn Zoo Mystery Series, Book 1 (unabridged) (Unabridged)",Betty Webb,"Fiction, Mystery","Blackstone Audio, Inc.",2009
Digital,OverDrive,AUDIOBOOK,2018,6,1,The Fatal Strain: On the Trail of Avian Flu and the Coming Pandemic (unabridged) (Unabridged),Alan Sipress,"Nonfiction, Science","Tantor Media, Inc",2009
Physical,Horizon,BOOK,2018,6,1,Marc Chagall. / [Translated from the German by Robert Allen],"Meyer, Franz, 1919-2007",Chagall Marc 1887 1985,"H. N. Abrams,",[1964]
Digital,OverDrive,AUDIOBOOK,2018,6,7,"The Prisoner: John Wells Series, Book 11 (unabridged) (Unabridged)",Alex Berenson,"Fiction, Suspense, Thriller",Books on Tape,2017
Physical,Horizon,BOOK,2018,6,2,Mystics and misfits : meeting God through St. Francis and other unlikely saints / Christiana N. Peterson.,"Peterson, Christiana N.,","Mysticism, Spirituality Christianity, Mystics, Christian saints","Herald Press,",2018.
Physical,Horizon,MAP,2018,6,1,Atlas of Indian nations / Anton Treuer.,"Treuer, Anton","Indians of North America Maps, Indians of North America History Maps, Atlases","National Geographic Books,",2013.
Physical,Horizon,BOOK,2018,6,5,"Big hero 6. 2 / Haruki Ueno ; [translation, Alethea and Athena Nibley ; lettering, Lys Blakeslee].","Ueno, Haruki","Gifted persons Comic books strips etc, Robots Comic books strips etc, Friendship Comic books strips etc, Cartoons and comics, Graphic novels, Comics Graphic works","Yen Press,",2015.
Digital,OverDrive,EBOOK,2018,6,1,"Thinking Small: The Long, Strange Trip of the Volkswagen Beetle",Andrea Hiott,"Business, History, Nonfiction, Transportation","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,6,3,The Chinese kitchen garden : growing techniques and family recipes from a classic cuisine / Wendy Kiang-Spray ; with photography by Sarah Culver.,"Kiang-Spray, Wendy","Vegetables Chinese, Kitchen gardens, Cooking Chinese","Timber Press,",2017.
Digital,OverDrive,EBOOK,2018,6,1,Earth Girl,Janet Edwards,"Science Fiction & Fantasy, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,6,1,Pablo Picasso / Tim McNeese.,"McNeese, Tim","Picasso Pablo 1881 1973 Juvenile literature, Artists France Biography Juvenile literature, Artists Juvenile literature","Chelsea House Publishers,",[2006]
Physical,Horizon,BOOK,2018,6,1,The pioneer woman cooks : food from my frontier / Ree Drummond.,"Drummond, Ree","Cooking American Southwestern style, Cookbooks","William Morrow,",[2012]
Physical,Horizon,BOOK,2018,6,1,Hecho a mano / Guadalupe Rodríguez ; [ilustraciones de Manuela Montero].,"Rodríguez, Guadalupe","Handicraft for children, Creative activities and seat work","Amanuta,",2009.
Physical,Horizon,BOOK,2018,6,10,I'm cool! / Kate & Jim McMullan.,"McMullan, Kate","Zambonis Trademark Juvenile fiction, Skating rinks Equipment and supplies Juvenile fiction, Hockey arenas Juvenile fiction","Balzer + Bray, an imprint of HarperCollinsPublishers,",[2015]
Physical,Horizon,BOOK,2018,6,1,Winners : and how they succeed / Alastair Campbell.,"Campbell, Alastair, 1957-","Success, Performance","Pegasus Books,",c2015.
Physical,Horizon,SOUNDDISC,2018,6,2,Signed and sealed in blood / Dropkick Murphys.,Dropkick Murphys (Musical group),Rock music 2011 2020,"Born & Bred Records,",[2013]
Digital,OverDrive,EBOOK,2018,6,1,"Targeted: Deadly Ops Series, Book 1",Katie Reus,"Fiction, Literature, Romance, Suspense","Penguin Group (USA), Inc.",2013
Digital,OverDrive,EBOOK,2018,6,2,"Flash and Bones: Temperance Brennan Series, Book 14",Kathy Reichs,"Fiction, Mystery, Suspense, Thriller","Simon & Schuster, Inc.",2014
Physical,Horizon,BOOK,2018,6,1,"Dreamer, wisher, liar / Charise Mericle Harper.","Harper, Charise Mericle","Babysitters Juvenile fiction, Magic Juvenile fiction, Wishes Juvenile fiction, Mothers and daughters Juvenile fiction","Balzer + Bray, an imprint of HarperCollinsPublishers,",[2014]
Physical,Horizon,BOOK,2018,6,1,"The new rules of college admissions : ten former admissions officers reveal what it takes to get into college today / Stephen Kramer, Michael London.","Kramer, Stephen","Universities and colleges United States Admission Handbooks manuals etc, College applications United States Handbooks manuals etc","Simon & Schuster,",[2006]
Physical,Horizon,BOOK,2018,6,2,"The spooky tire / written by Jon Scieszka ; characters and environments developed by the Design Garage: David Shannon, Loren Long, David Gordon.","Scieszka, Jon","Trucks Juvenile fiction, Tires Juvenile fiction, Ghosts Fiction","Aladdin,",2009.
Physical,Horizon,VIDEODISC,2018,6,2,"What the #$*! do we know!? What the bleep!? down the rabbit hole / Samuel Goldwyn Films ; Roadside Attractions ; Captured Light Industries ; Lord of the Wind Films ; written by William Arntz, Betsy Chasse, Matthew Hoffman ; produced and directed by Mark Vicente, Betsy Chasse, William Arntz.",,"Quantum logic Drama, Quantum theory Drama, Critical phenomena Physics Drama, Scientists Drama, Feature films, Documentary style films, Video recordings for the hearing impaired","Beyond Words Publishing,",[2014]
Physical,Horizon,BOOK,2018,6,3,Once upon a cool motorcycle dude / written and illustrated by Kevin O'Malley ; illustrated by Carol Heyer ; illustrated by Scott Goto.,"O'Malley, Kevin, 1961-","Authorship Juvenile fiction, Princesses Juvenile fiction, Motorcyclists Juvenile fiction, Giants Juvenile fiction, Fairy tales, Humorous stories","Walker & Co.,",2005.
Digital,OverDrive,EBOOK,2018,6,1,"Black Order: Sigma Force Series, Book 3",James Rollins,"Fiction, Thriller",HarperCollins Publishers Inc.,2011
Physical,Horizon,BOOK,2018,6,1,Take shelter : at home around the world / Nikki Tate & Dani Tate-Stratton.,"Tate, Nikki, 1962-","Dwellings Juvenile literature, Architecture Domestic Juvenile literature","Orca Book Publishers,",2014.
Digital,OverDrive,EBOOK,2018,6,1,Daddy-Long-Legs and Dear Enemy,Jean Webster,Fiction,"Penguin Group (USA), Inc.",2011
Digital,OverDrive,AUDIOBOOK,2018,6,10,"The Road to Unfreedom: Russia, Europe, America (unabridged) (Unabridged)",Timothy Snyder,"History, Nonfiction, Politics",Books on Tape,2018
